X,Y,OBJECTID,FOLIO,NAME,ENTITYNAME,ADDRESS,CITY,ZIPCODE,PHONE,PHONE2,TYPE,CAPACITY,CAP_DESC,LAT,LON,POINT_X,POINT_Y
-8919678.1558,2974268.5507,1,0232270450001,1 HOTEL SOUTH BEACH,1 SB LESSEE LLC,2341 COLLINS AVE,MIAMI BEACH,33139,305-604-1000,,HOTL,425,Rooms,25.79949,-80.12683,943451.767626245,533767.653306991
-8920087.0263,2972626.9845,2,0232340080700,1425 COLLINS AVENUE LLC,1425 COLLINS AVENUE LLC,1425 COLLINS AVE,MIAMI BEACH,33139,305-534-9334,305-534-9334,HOTL,49,Rooms,25.78621,-80.1305,942275.128903411,528933.737777993
-8937135.4685,2977610.6046,3,0431180012200,508 CABANA HOTEL LLC,508 CABANA HOTEL LLC,508 W 1 AVE,HIALEAH,33010,786-344-2542,,HOTL,52,Rooms,25.82652,-80.28365,891799.937203079,543279.311448991
-8926181.8359,2978124.9224,4,0132180310260,7 SEAS MOTEL,LIN THOMAS T,5940 BISCAYNE BLVD,MIAMI,33137,305-757-1678,305-757-1678,MOTL,50,Rooms,25.83067,-80.18525,924158.587380663,544979.27294407
-8957083.349,2935075.0053,5,,A-1 BUDGET MOTEL,KPN INC,30600 S DIXIE HWY,HOMESTEAD,33030,305-247-7032,,MOTL,20,Rooms,25.48208,-80.46285,833363.086229246,417813.656212822
-8921353.9814,2972232.8582,6,0232342440001,ABAE HOTEL,"R POWER HOLDINGS, INC",1215 WEST AVE,MIAMI BEACH,33139,786-888-1702,786-888-1702,HOTL,45,Rooms,25.78302,-80.14188,938537.498255327,527750.434698403
-8920039.5986,2973908.6427,7,0232260010170,ABBEY HOTEL,ABBEY HOTEL ACQUISITION LLC,300 21 ST,MIAMI BEACH,33139,646-467-1399,646-467-1399,HOTL,9,Rooms,25.79658,-80.13009,942390.43444708,532702.559308574
-8942080.8102,2975614.0859,8,3530270010130,AC HOTEL BY MARRIOTT,AC DORAL LLC,8091 NW 36 ST,DORAL,33166,305-592-3393,305-592-3393,HOTL,118,Rooms,25.81037,-80.32808,877216.556264911,537334.184231654
-8921389.4129,2995082.2006,9,2812340790025,AC HOTEL MIAMI AVENTURA,NORWICH AVENTURA II LLC,20805 BISCAYNE BLVD,AVENTURA,33180,786-590-5100,786-590-5100,HOTL,233,Rooms,25.9677,-80.1422,937994.137793496,594876.556023322
-8919485.3605,2974991.0987,10,0232260011090,AC HOTEL MIAMI BEACH,MARRIOTT HOTEL SERVICES INC,2912 COLLINS AVE,MIAMI BEACH,33140,786-708-7230,786-708-7230,HOTL,150,Rooms,25.80533,-80.1251,944007.49912633,535895.434484489
-8935063.012,2972075.189,11,0131320210020,AIRPORT REGENCY HOTEL,AIRPORT REGENCY MANGEMENT INC,1000 NW 42 AVE,MIAMI,33126,305-332-7274,,HOTL,175,Rooms,25.78175,-80.26503,898014.877200995,527041.813412242
-8935092.4399,2975634.283,12,0531200360090,ALADDIN HOTEL,ALFERCA MIAMI LLC,901 S ROYAL POINCIANA,MIAMI SPGS,33166,305-883-9999,305-883-9999,MOTL,50,Rooms,25.81053,-80.2653,897869.499210913,537503.937172987
